AirportNode,PageRankValue
UT1,0.03916605362118954
PGM,0.039087461995241976
KEB,0.039087461995241976
DOF,0.03886969034962943
MLY,0.0387168779059989
ADS,0.03811553311330984
PBG,0.037890285336360345
TYE,0.037659301355185325
APA,0.037424515453380186
FMY,0.03729624298017027
ESD,0.03670499376517468
DEC,0.03658817969639028
FYV,0.036434803152087525
ORL,0.036331962403484984
MBS,0.03603710330332584
MLB,0.03588402786991305
FTW,0.03570259108071254
RIV,0.0356883415434818
CWA,0.03568288272680684
CPS,0.03549593369006505
HYA,0.03535220692786927
PKB,0.035262496051083746
YUM,0.035107455538413664
ABY,0.03496436488401909
GRI,0.03482673366540336
LMA,0.03472953319012228
EAR,0.03452620583504495
HTS,0.034387203002163566
DRO,0.03413653810165559
LAF,0.034107743361814505
MCN,0.03385697676865002
PSG,0.03382550040217308
ADK,0.033607859178257794
FLG,0.03299765526378375
CEM,0.03255769628642671
SIG,0.03247860701437461
RWI,0.03246447734935749
AIN,0.03239859072498695
WRG,0.03236525408573842
EGX,0.03157263622100766
EXI,0.0313037695960893
SMX,0.030981685818839793
WSN,0.0309241388816314
MOB,0.030667219179547966
NYL,0.030664738521863296
TKF,0.030643743068581964
CRW,0.03055130685896493
HLN,0.030340886091035076
INT,0.03007022714298187
DTO,0.029790599028083977
GKN,0.029746245890749236
PWK,0.029580557792573434
IAG,0.029485929881588806
AGN,0.02938884729696785
NCN,0.029333875106322023
PTK,0.028893215597076097
KAE,0.028316130046796683
PHF,0.02803173806186868
OXC,0.027846718693751174
LBF,0.02720250698186021
NIB,0.026945309494879662
SQL,0.026720184599191933
SUS,0.026619924930397765
UTO,0.026531131216993055
FAY,0.026328182679433838
UGN,0.026214004594647115
TEK,0.026044791873185615
CHU,0.026037371448947442
RHI,0.02601714947331216
MGM,0.025779036021831823
NNK,0.02577840594927738
AZO,0.02573325967340737
AVP,0.025704276811857028
MLU,0.025577340871099363
ITH,0.025473201391913797
CVO,0.025467372022336905
HTO,0.025460651503202467
BTM,0.02532108208682681
GCK,0.025294839207714585
LSE,0.02514624325108398
PIH,0.02514479210731064
TWA,0.025061301662036968
PGV,0.024942853772630003
PDT,0.02488090489239883
TBN,0.02457920766348379
BFD,0.024469558049766495
AKB,0.024374746330484913
OAJ,0.024251810746139708
ACV,0.024159932919799162
MKK,0.02383199109776386
ATK,0.02345719589935949
EAA,0.02323252574122572
CGI,0.0231216675209888
HKB,0.023095903729362887
CZN,0.02295928171750005
EAU,0.02276083562933983
IYK,0.022547536806888546
JRV,0.022530960875083748
MCK,0.02247681427586075
RDD,0.0221042594868577
RDV,0.022014464171797157
PEC,0.021845389494962272
AHN,0.021732237617268616
FSM,0.021650900871813865
KVC,0.02138386979783674
BFM,0.02113957451604826
VQQ,0.02113743196312304
JST,0.021073141777089972
XWA,0.020831681586700797
TEX,0.02064092969602827
GUC,0.020579402246783042
SUX,0.020577999819798905
OWB,0.020516830721567576
LCH,0.020509046435965444
RIL,0.02034757834495516
PIZ,0.02032933349477992
MQT,0.0203257511106024
MZJ,0.02031459349873794
TUP,0.020270095528403063
BMG,0.020249366858377256
DRT,0.02021651315667333
TVF,0.019989413325394924
LWS,0.01998415923887404
